Nombre,Categoria,Unidad (KG/L/UD),Precio,Merma (%),Alergenos (Separados por coma)
Fuet 100 G,Embutidos y curados/Fuet,UD,15.18,2,
Fuet Taquitos,Embutidos y curados/Fuet,KG,23.44,2,
Fuet Tiras,Embutidos y curados/Fuet,KG,23.12,2,
Fuet Envasado Al Vacío,Embutidos y curados/Fuet,KG,12.75,2,
Fuet A Granel,Embutidos y curados/Fuet,KG,19.97,2,
Morcilla Pieza,Embutidos y curados/Morcilla,KG,8.8,2,
Morcilla 100 G,Embutidos y curados/Morcilla,UD,7.3,2,
Morcilla Taquitos,Embutidos y curados/Morcilla,KG,7.64,2,
Morcilla Tiras,Embutidos y curados/Morcilla,KG,10.87,2,
Morcilla Envasado Al Vacío,Embutidos y curados/Morcilla,KG,9.83,2,
Morcilla A Granel,Embutidos y curados/Morcilla,KG,7.13,2,
Butifarra Pieza,Embutidos y curados/Butifarra,KG,17.57,2,
Butifarra 100 G,Embutidos y curados/Butifarra,UD,10.56,2,
Butifarra Taquitos,Embutidos y curados/Butifarra,KG,15.01,2,
Butifarra Tiras,Embutidos y curados/Butifarra,KG,17.88,2,
Butifarra Envasado Al Vacío,Embutidos y curados/Butifarra,KG,8.87,2,
Butifarra A Granel,Embutidos y curados/Butifarra,KG,13.04,2,
Bacon Pieza,Embutidos y curados/Bacon,KG,15.64,2,
Bacon 100 G,Embutidos y curados/Bacon,UD,13.18,2,
Bacon Taquitos,Embutidos y curados/Bacon,KG,10.6,2,
Bacon Tiras,Embutidos y curados/Bacon,KG,10.22,2,
Bacon Envasado Al Vacío,Embutidos y curados/Bacon,KG,15.92,2,
Bacon A Granel,Embutidos y curados/Bacon,KG,8.55,2,
Panceta Curada Pieza,Embutidos y curados/Panceta,KG,14.81,2,
Panceta Curada 100 G,Embutidos y curados/Panceta,UD,13.62,2,
Panceta Curada Taquitos,Embutidos y curados/Panceta,KG,15.12,2,
Panceta Curada Tiras,Embutidos y curados/Panceta,KG,14.88,2,
Panceta Curada Envasado Al Vacío,Embutidos y curados/Panceta,KG,18.38,2,
Panceta Curada A Granel,Embutidos y curados/Panceta,KG,12.95,2,
Vacuno Solomillo,Carnes/Vacuno,KG,18.52,34,
Vacuno Solomillo 21 Días,Carnes/Vacuno,KG,13.02,54,
Vacuno Solomillo Adobado,Carnes/Vacuno,KG,23.86,49,
Vacuno Solomillo Marinado,Carnes/Vacuno,KG,27.1,34,
Vacuno Solomillo 30 Días,Carnes/Vacuno,KG,21.21,14,
Vacuno Solomillo En Dados,Carnes/Vacuno,KG,20.42,8,
Vacuno Solomillo En Dados 21 Días,Carnes/Vacuno,KG,20.41,8,
Vacuno Solomillo Picado,Carnes/Vacuno,KG,17.82,4,
Vacuno Solomillo Picado 21 Días,Carnes/Vacuno,KG,19.36,4,
Vacuno Solomillo Picado 30 Días,Carnes/Vacuno,KG,38.13,5,
Vacuno Solomillo Picado Marinado,Carnes/Vacuno,KG,23.65,5,
Vacuno Solomillo Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,10.28,1,
Vacuno Solomillo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,14.31,2,
Vacuno Solomillo Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,26.39,2,
Vacuno Solomillo Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,10.71,1,
Vacuno Solomillo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,24.83,1,
Vacuno Solomillo Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,15.41,2,
Vacuno Solomillo Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,27.44,0,
Vacuno Solomillo Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,26.47,2,
Vacuno Solomillo Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,18.62,0,
Vacuno Solomillo Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,26.26,1,
Vacuno Solomillo Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,28.87,1,
Vacuno Solomillo Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,13.02,2,
Vacuno Entrecot,Carnes/Vacuno,KG,20.47,42,
Vacuno Entrecot 21 Días,Carnes/Vacuno,KG,26.5,40,
Vacuno Entrecot Marinado,Carnes/Vacuno,KG,27.47,35,
Vacuno Entrecot Adobado,Carnes/Vacuno,KG,10.09,11,
Vacuno Entrecot 30 Días,Carnes/Vacuno,KG,28.97,45,
Vacuno Entrecot En Dados,Carnes/Vacuno,KG,22.2,10,
Vacuno Entrecot En Dados 21 Días,Carnes/Vacuno,KG,13.19,6,
Vacuno Entrecot En Dados Adobado,Carnes/Vacuno,KG,30.65,8,
Vacuno Entrecot Picado,Carnes/Vacuno,KG,14.09,2,
Vacuno Entrecot Picado 21 Días,Carnes/Vacuno,KG,19.67,4,
Vacuno Entrecot Picado Marinado,Carnes/Vacuno,KG,23.48,6,
Vacuno Entrecot Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,10.03,1,
Vacuno Entrecot Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,28.27,2,
Vacuno Entrecot Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,20.75,2,
Vacuno Entrecot Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,24.36,0,
Vacuno Entrecot Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,28.26,0,
Vacuno Entrecot Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,16.45,1,
Vacuno Entrecot Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,10.49,0,
Vacuno Entrecot Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,19.92,1,
Vacuno Entrecot Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,9.21,2,
Vacuno Entrecot Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,28.9,1,
Vacuno Entrecot Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,19.52,0,
Vacuno Chuletón,Carnes/Vacuno,KG,13.2,45,
Vacuno Chuletón 21 Días,Carnes/Vacuno,KG,29.93,37,
Vacuno Chuletón 30 Días,Carnes/Vacuno,KG,28.83,52,
Vacuno Chuletón Adobado,Carnes/Vacuno,KG,15.78,15,
Vacuno Chuletón Marinado,Carnes/Vacuno,KG,21.04,15,
Vacuno Chuletón En Dados,Carnes/Vacuno,KG,25.79,11,
Vacuno Chuletón En Dados 21 Días,Carnes/Vacuno,KG,25.91,5,
Vacuno Chuletón En Dados Adobado,Carnes/Vacuno,KG,21.46,11,
Vacuno Chuletón En Dados Marinado,Carnes/Vacuno,KG,28.98,7,
Vacuno Chuletón Picado,Carnes/Vacuno,KG,11.98,2,
Vacuno Chuletón Picado 21 Días,Carnes/Vacuno,KG,25.46,3,
Vacuno Chuletón Picado 30 Días,Carnes/Vacuno,KG,38.92,4,
Vacuno Chuletón Picado Marinado,Carnes/Vacuno,KG,22.38,6,
Vacuno Chuletón Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,16.22,2,
Vacuno Chuletón Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,14.08,0,
Vacuno Chuletón Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,20.28,1,
Vacuno Chuletón Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,26.68,0,
Vacuno Chuletón Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,24.05,2,
Vacuno Chuletón Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,21.76,0,
Vacuno Chuletón Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,17.59,1,
Vacuno Chuletón Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,23.77,1,
Vacuno Chuletón Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,22.13,0,
Vacuno Chuletón Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,11.92,1,
Vacuno Chuletón Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,22.47,1,
Vacuno Chuletón Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,10.92,2,
Vacuno Chuletón Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,35.26,2,
Vacuno Chuletón Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,22.67,2,
Vacuno Chuletón Brocheta (Pack 4 Ud) Marinado,Carnes/Vacuno,UD,25.86,1,
Vacuno Lomo Alto,Carnes/Vacuno,KG,21.57,46,
Vacuno Lomo Alto 21 Días,Carnes/Vacuno,KG,24.68,45,
Vacuno Lomo Alto 30 Días,Carnes/Vacuno,KG,15.24,48,
Vacuno Lomo Alto Adobado,Carnes/Vacuno,KG,18.76,33,
Vacuno Lomo Alto Marinado,Carnes/Vacuno,KG,15.75,41,
Vacuno Lomo Alto En Dados,Carnes/Vacuno,KG,14.99,5,
Vacuno Lomo Alto En Dados 21 Días,Carnes/Vacuno,KG,26.29,9,
Vacuno Lomo Alto En Dados 30 Días,Carnes/Vacuno,KG,16.09,6,
Vacuno Lomo Alto Picado,Carnes/Vacuno,KG,21.43,6,
Vacuno Lomo Alto Picado 21 Días,Carnes/Vacuno,KG,28.04,3,
Vacuno Lomo Alto Picado 30 Días,Carnes/Vacuno,KG,15.32,3,
Vacuno Lomo Alto Picado Adobado,Carnes/Vacuno,KG,16.79,2,
Vacuno Lomo Alto Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,12.5,0,
Vacuno Lomo Alto Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,20.36,1,
Vacuno Lomo Alto Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,14.19,0,
Vacuno Lomo Alto Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,23.38,0,
Vacuno Lomo Alto Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,17.24,1,
Vacuno Lomo Alto Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,22.23,1,
Vacuno Lomo Alto Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,15.96,0,
Vacuno Lomo Alto Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,23.96,0,
Vacuno Lomo Alto Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,18.44,1,
Vacuno Lomo Alto Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,25.51,2,
Vacuno Lomo Alto Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,21.93,0,
Vacuno Lomo Bajo,Carnes/Vacuno,KG,10.43,49,
Vacuno Lomo Bajo 21 Días,Carnes/Vacuno,KG,29.58,51,
Vacuno Lomo Bajo 30 Días,Carnes/Vacuno,KG,21.82,39,
Vacuno Lomo Bajo Marinado,Carnes/Vacuno,KG,18.72,25,
Vacuno Lomo Bajo Adobado,Carnes/Vacuno,KG,18.91,5,
Vacuno Lomo Bajo En Dados,Carnes/Vacuno,KG,11.9,7,
Vacuno Lomo Bajo En Dados 21 Días,Carnes/Vacuno,KG,18.7,5,
Vacuno Lomo Bajo En Dados 30 Días,Carnes/Vacuno,KG,22.09,9,
Vacuno Lomo Bajo En Dados Adobado,Carnes/Vacuno,KG,19.08,11,
Vacuno Lomo Bajo En Dados Marinado,Carnes/Vacuno,KG,23.34,9,
Vacuno Lomo Bajo Picado,Carnes/Vacuno,KG,23.55,3,
Vacuno Lomo Bajo Picado 21 Días,Carnes/Vacuno,KG,18.68,2,
Vacuno Lomo Bajo Picado 30 Días,Carnes/Vacuno,KG,26.01,3,
Vacuno Lomo Bajo Picado Adobado,Carnes/Vacuno,KG,18.96,3,
Vacuno Lomo Bajo Picado Marinado,Carnes/Vacuno,KG,13.02,2,
Vacuno Lomo Bajo Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,13.09,0,
Vacuno Lomo Bajo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,17.4,2,
Vacuno Lomo Bajo Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,20.49,2,
Vacuno Lomo Bajo Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,24.86,2,
Vacuno Lomo Bajo Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,23.18,2,
Vacuno Lomo Bajo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,29.02,1,
Vacuno Lomo Bajo Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,27.38,2,
Vacuno Lomo Bajo Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,19.23,0,
Vacuno Lomo Bajo Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,12.42,2,
Vacuno Lomo Bajo Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,21.87,2,
Vacuno Lomo Bajo Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,15.86,2,
Vacuno Lomo Bajo Brocheta (Pack 4 Ud) Marinado,Carnes/Vacuno,UD,22.57,0,
Vacuno Aguja,Carnes/Vacuno,KG,24.16,39,
Vacuno Aguja 21 Días,Carnes/Vacuno,KG,11.91,51,
Vacuno Aguja 30 Días,Carnes/Vacuno,KG,18.75,37,
Vacuno Aguja Marinado,Carnes/Vacuno,KG,23.6,24,
Vacuno Aguja En Dados,Carnes/Vacuno,KG,18.28,6,
Vacuno Aguja En Dados 21 Días,Carnes/Vacuno,KG,19.56,7,
Vacuno Aguja En Dados 30 Días,Carnes/Vacuno,KG,29.06,5,
Vacuno Aguja Picado,Carnes/Vacuno,KG,19.7,4,
Vacuno Aguja Picado 21 Días,Carnes/Vacuno,KG,25.02,5,
Vacuno Aguja Picado 30 Días,Carnes/Vacuno,KG,29.14,4,
Vacuno Aguja Picado Adobado,Carnes/Vacuno,KG,14.88,5,
Vacuno Aguja Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,9.22,0,
Vacuno Aguja Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,25.72,1,
Vacuno Aguja Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,19.21,0,
Vacuno Aguja Hamburguesa 120 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,10.83,1,
Vacuno Aguja Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,19.41,1,
Vacuno Aguja Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,28.87,0,
Vacuno Aguja Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,25.5,1,
Vacuno Aguja Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,17.87,0,
Vacuno Aguja Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,12.52,1,
Vacuno Aguja Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,28.15,2,
Vacuno Aguja Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,28.97,2,
Vacuno Aguja Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,24.37,2,
Vacuno Morcillo,Carnes/Vacuno,KG,23.91,34,
Vacuno Morcillo 21 Días,Carnes/Vacuno,KG,19.38,47,
Vacuno Morcillo Adobado,Carnes/Vacuno,KG,12.65,40,
Vacuno Morcillo Marinado,Carnes/Vacuno,KG,14.82,51,
Vacuno Morcillo 30 Días,Carnes/Vacuno,KG,33.23,15,
Vacuno Morcillo En Dados,Carnes/Vacuno,KG,11.02,5,
Vacuno Morcillo En Dados 21 Días,Carnes/Vacuno,KG,27.91,7,
Vacuno Morcillo En Dados 30 Días,Carnes/Vacuno,KG,22.59,7,
Vacuno Morcillo Picado,Carnes/Vacuno,KG,18.18,2,
Vacuno Morcillo Picado 21 Días,Carnes/Vacuno,KG,27.1,6,
Vacuno Morcillo Picado 30 Días,Carnes/Vacuno,KG,33.93,3,
Vacuno Morcillo Picado Adobado,Carnes/Vacuno,KG,21.14,2,
Vacuno Morcillo Picado Marinado,Carnes/Vacuno,KG,15.22,2,
Vacuno Morcillo Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,15.05,0,
Vacuno Morcillo Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,20.75,0,
Vacuno Morcillo Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,13.67,2,
Vacuno Morcillo Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,24.96,2,
Vacuno Morcillo Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,14.5,0,
Vacuno Morcillo Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,17.56,2,
Vacuno Morcillo Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,12.51,0,
Vacuno Morcillo Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,19.24,0,
Vacuno Morcillo Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,14.45,2,
Vacuno Morcillo Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,17.09,2,
Vacuno Morcillo Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,22.06,1,
Vacuno Jarrete,Carnes/Vacuno,KG,22.31,55,
Vacuno Jarrete 21 Días,Carnes/Vacuno,KG,15.15,34,
Vacuno Jarrete 30 Días,Carnes/Vacuno,KG,21.17,46,
Vacuno Jarrete Adobado,Carnes/Vacuno,KG,11.51,42,
Vacuno Jarrete Marinado,Carnes/Vacuno,KG,10.7,44,
Vacuno Jarrete En Dados,Carnes/Vacuno,KG,12.76,9,
Vacuno Jarrete En Dados 21 Días,Carnes/Vacuno,KG,33.36,8,
Vacuno Jarrete En Dados Adobado,Carnes/Vacuno,KG,29.64,7,
Vacuno Jarrete En Dados Marinado,Carnes/Vacuno,KG,26.34,6,
Vacuno Jarrete Picado,Carnes/Vacuno,KG,15.02,4,
Vacuno Jarrete Picado 21 Días,Carnes/Vacuno,KG,15.48,6,
Vacuno Jarrete Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,11.86,0,
Vacuno Jarrete Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,14.31,1,
Vacuno Jarrete Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,21.45,1,
Vacuno Jarrete Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,12.88,1,
Vacuno Jarrete Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,27.4,1,
Vacuno Jarrete Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,15.71,2,
Vacuno Jarrete Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,21.93,1,
Vacuno Jarrete Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,24.47,0,
Vacuno Jarrete Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,16.77,0,
Vacuno Jarrete Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,29.04,2,
Vacuno Jarrete Brocheta (Pack 4 Ud) Marinado,Carnes/Vacuno,UD,25.54,0,
Vacuno Falda,Carnes/Vacuno,KG,12.52,32,
Vacuno Falda 21 Días,Carnes/Vacuno,KG,11.9,51,
Vacuno Falda Marinado,Carnes/Vacuno,KG,18.23,53,
Vacuno Falda 30 Días,Carnes/Vacuno,KG,31.59,12,
Vacuno Falda Adobado,Carnes/Vacuno,KG,20.04,27,
Vacuno Falda En Dados,Carnes/Vacuno,KG,13.1,6,
Vacuno Falda En Dados 21 Días,Carnes/Vacuno,KG,28.39,8,
Vacuno Falda En Dados 30 Días,Carnes/Vacuno,KG,26.25,11,
Vacuno Falda En Dados Adobado,Carnes/Vacuno,KG,19.37,12,
Vacuno Falda En Dados Marinado,Carnes/Vacuno,KG,15.56,12,
Vacuno Falda Picado,Carnes/Vacuno,KG,18.2,3,
Vacuno Falda Picado 21 Días,Carnes/Vacuno,KG,33.43,6,
Vacuno Falda Picado 30 Días,Carnes/Vacuno,KG,31.09,5,
Vacuno Falda Picado Marinado,Carnes/Vacuno,KG,25.16,4,
Vacuno Falda Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,17.56,2,
Vacuno Falda Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,17.57,1,
Vacuno Falda Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,18.15,2,
Vacuno Falda Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,13.01,0,
Vacuno Falda Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,20.68,1,
Vacuno Falda Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,21.73,2,
Vacuno Falda Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,14.36,2,
Vacuno Falda Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,13.84,0,
Vacuno Falda Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,32.59,1,
Vacuno Falda Brocheta (Pack 4 Ud) Marinado,Carnes/Vacuno,UD,14.69,1,
Vacuno Costilla,Carnes/Vacuno,KG,18.01,39,
Vacuno Costilla 21 Días,Carnes/Vacuno,KG,20.01,39,
Vacuno Costilla 30 Días,Carnes/Vacuno,KG,16.3,30,
Vacuno Costilla Marinado,Carnes/Vacuno,KG,15.34,39,
Vacuno Costilla Adobado,Carnes/Vacuno,KG,16.69,16,
Vacuno Costilla En Dados,Carnes/Vacuno,KG,17.12,7,
Vacuno Costilla En Dados 21 Días,Carnes/Vacuno,KG,22.14,7,
Vacuno Costilla En Dados 30 Días,Carnes/Vacuno,KG,22.07,11,
Vacuno Costilla Picado,Carnes/Vacuno,KG,15.69,6,
Vacuno Costilla Picado 21 Días,Carnes/Vacuno,KG,30.3,6,
Vacuno Costilla Picado Marinado,Carnes/Vacuno,KG,19.53,4,
Vacuno Costilla Hamburguesa 120 G (Pack 2 Ud),Carnes/Vacuno,UD,12.97,1,
Vacuno Costilla Hamburguesa 120 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,25.11,1,
Vacuno Costilla Hamburguesa 120 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,31.28,1,
Vacuno Costilla Hamburguesa 120 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,16.86,0,
Vacuno Costilla Hamburguesa 180 G (Pack 2 Ud),Carnes/Vacuno,UD,18.43,2,
Vacuno Costilla Hamburguesa 180 G (Pack 2 Ud) 21 Días,Carnes/Vacuno,UD,28.94,2,
Vacuno Costilla Hamburguesa 180 G (Pack 2 Ud) 30 Días,Carnes/Vacuno,UD,23.51,2,
Vacuno Costilla Hamburguesa 180 G (Pack 2 Ud) Adobado,Carnes/Vacuno,UD,25.34,1,
Vacuno Costilla Hamburguesa 180 G (Pack 2 Ud) Marinado,Carnes/Vacuno,UD,23.26,2,
Vacuno Costilla Brocheta (Pack 4 Ud),Carnes/Vacuno,UD,20.19,2,
Vacuno Costilla Brocheta (Pack 4 Ud) 21 Días,Carnes/Vacuno,UD,22.19,0,
Vacuno Costilla Brocheta (Pack 4 Ud) 30 Días,Carnes/Vacuno,UD,27.1,0,
Vacuno Costilla Brocheta (Pack 4 Ud) Adobado,Carnes/Vacuno,UD,27.29,0,
Vacuno Tapa,Carnes/Vacuno,KG,19.28,47,
Vacuno Tapa 21 Días,Carnes/Vacuno,KG,12.72,38,
Vacuno Tapa 30 Días,Carnes/Vacuno,KG,36.2,30,
Vacuno Tapa Marinado,Carnes/Vacuno,KG,22.07,31,
Vacuno Tapa Adobado,Carnes/Vacuno,KG,12.51,27,
Vacuno Tapa En Dados,Carnes/Vacuno,KG,13.85,11,
Vacuno Tapa En Dados 21 Días,Carnes/Vacuno,KG,32.97,12,
Vacuno Tapa En Dados 30 Días,Carnes/Vacuno,KG,39.25,11,
Vacuno Tapa En Dados Adobado,Carnes/Vacuno,KG,30.14,8,
Vacuno Tapa En Dados Marinado,Carnes/Vacuno,KG,22.3,10,
Vacuno Tapa Picado,Carnes/Vacuno,KG,15.12,3,
Vacuno Tapa Picado 21 Días,Carnes/Vacuno,KG,13.98,3,
Vacuno Tapa Picado 30 Días,Carnes/Vacuno,KG,28.5,6,
Vacuno Tapa Picado Adobado,Carnes/Vacuno,KG,17.18,3,
Vacuno Tapa Picado Marinado,Carnes/Vacuno,KG,14.4,5,
